scorer,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice
bodyparts,thumbStartLeft,thumbStartLeft,thumbEndLeft,thumbEndLeft,indexStartLeft,indexStartLeft,indexEndLeft,indexEndLeft,middleStartLeft,middleStartLeft,middleEndLeft,middleEndLeft,ringStartLeft,ringStartLeft,ringEndLeft,ringEndLeft,littleStartLeft,littleStartLeft,littleEndLeft,littleEndLeft,thumbStartRight,thumbStartRight,thumbEndRight,thumbEndRight,indexStartRight,indexStartRight,indexEndRight,indexEndRight,middleStartRight,middleStartRight,middleEndRight,middleEndRight,ringStartRight,ringStartRight,ringEndRight,ringEndRight,littleStartRight,littleStartRight,littleEndRight,littleEndRight
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Pil02\img012.png,675.4747774480713,281.0112982195845,612.9020771513356,329.36293026706227,692.5400593471813,319.88221810089016,647.9807121661725,404.26055637982194,721.9302670623149,334.1032863501483,693.4881305637984,416.58548219584566,758.905044510386,341.687856083086,751.3204747774485,410.89705489614244,799.6721068249262,337.89557121661716,815.7893175074187,389.09141691394655,500.0816023738874,305.661149851632,556.0178041543029,314.1937908011869,483.96439169139484,318.93414688427293,544.6409495548962,386.24720326409494,453.62611275964406,337.89557121661716,476.37982195845706,417.5335534124629,424.2359050445105,339.79171364985154,432.7685459940654,422.27390949554893,401.4821958456974,339.79171364985154,369.24777448071217,409.000912462908
labeled-data\Pil02\img046.png,670.7344213649853,295.23236646884266,609.1097922848667,343.58399851632043,692.5400593471813,331.2590727002967,637.5519287833831,401.4163427299703,720.0341246290805,347.37628338278927,698.2284866468844,424.1700519287834,761.7492581602378,354.960853115727,757.0089020771516,418.4816246290801,801.5682492581604,341.687856083086,821.477744807122,397.62405786350143,504.8219584569734,313.24571958456966,557.9139465875373,326.51871661721066,487.7566765578636,332.2071439169139,550.3293768545996,393.8317729970326,454.5741839762613,347.37628338278927,477.3278931750743,427.9623367952522,428.0281899109793,353.06471068249255,434.66468842729984,432.70269287833827,405.2744807121663,351.1685682492581,373.04005934718106,418.4816246290801
labeled-data\Pil02\img052.png,671.6824925816027,292.38815281899105,607.2136498516322,338.8436424332344,689.6958456973296,335.05135756676555,641.3442136498518,404.26055637982194,720.9821958456976,347.37628338278927,696.33234421365,423.22198071216616,757.9569732937689,352.1166394658753,757.9569732937689,417.5335534124629,800.6201780415433,345.4801409495549,819.5816023738876,390.03948813056377,506.71810089020784,314.1937908011869,559.8100890207718,323.674502967359,490.6008902077153,327.4667878338278,549.3813056379825,389.09141691394655,459.3145400593473,347.37628338278927,479.2240356083087,421.32583827893177,427.08011869436206,353.06471068249255,436.56083086053417,424.1700519287834,408.11869436201783,348.3243545994065,374.9362017804155,415.63741097922843
labeled-data\Pil02\img072.png,676.4228486646887,289.5439391691394,611.0059347181011,335.05135756676555,695.3842729970329,319.88221810089016,637.5519287833831,335.99942878338277,719.0860534124631,340.73978486646877,703.9169139465878,416.58548219584566,766.4896142433238,346.4282121661721,758.905044510386,412.7931973293768,802.5163204747778,338.8436424332344,825.2700296735909,387.1952744807121,508.6142433234423,304.71307863501477,565.4985163204749,315.1418620178041,492.4970326409497,317.9860756676557,554.1216617210684,383.4029896142433,459.3145400593473,339.79171364985154,487.7566765578636,417.5335534124628,431.82047477744817,340.73978486646877,444.14540059347195,418.4816246290801,409.06676557863506,344.53206973293766,380.6246290801187,409.9489836795252
labeled-data\Pil02\img090.png,690.6439169139469,288.5958679525222,633.7596439169142,329.36293026706227,715.2937685459942,326.51871661721066,665.0459940652822,379.61070474777443,739.9436201780418,335.99942878338277,720.0341246290805,410.89705489614244,780.710682492582,338.8436424332344,775.9703264094958,404.26055637982194,818.6335311572705,329.36293026706227,840.4391691394662,384.35106083086055,528.5237388724038,299.9727225519287,585.4080118694365,313.24571958456966,513.3545994065283,317.0380044510385,573.0830860534124,381.5068471810089,482.0682492581604,338.8436424332344,501.97774480712184,411.84512611275966,451.7299703264096,338.8436424332344,464.0548961424334,413.74126854599405,429.9243323442137,339.79171364985154,400.53412462908017,404.26055637982194
labeled-data\Pil02\img108.png,683.0593471810091,293.33622403560827,629.019287833828,338.8436424332344,710.5534124629082,325.57064540059343,658.4094955489616,374.87034866468844,734.2551928783384,338.8436424332344,712.4495548961427,376.7664910979228,776.9183976261131,351.1685682492581,774.0741839762613,409.9489836795252,814.8412462908016,339.79171364985154,838.5430267062318,389.09141691394655,526.6275964391693,309.4534347181008,579.7195845697331,320.8302893175074,510.5103857566767,325.57064540059343,572.1350148367953,387.1952744807121,475.43175074183983,344.53206973293766,501.0296735905046,416.58548219584566,446.9896142433235,353.06471068249255,460.2626112759645,423.22198071216616,428.9762611275965,351.1685682492581,399.58605341246295,410.89705489614244
labeled-data\Pil02\img110.png,683.0593471810091,293.33622403560827,626.1750741839764,337.89557121661716,702.0207715133533,332.2071439169139,660.305637982196,369.1819213649851,731.4109792284869,339.79171364985154,712.4495548961427,368.2338501483679,776.9183976261131,349.27242581602366,774.0741839762613,409.9489836795252,816.737388724036,341.687856083086,836.6468842729973,390.987559347181,518.0949554896144,305.661149851632,579.7195845697331,321.7783605341246,502.92581602373906,322.72643175074177,570.2388724035611,391.9356305637982,478.2759643916915,336.9475,499.13353115727017,417.5335534124629,447.9376854599407,341.687856083086,457.41839762611284,425.11812314540055,424.2359050445105,345.4801409495549,397.6899109792285,412.7931973293768
labeled-data\Pil02\img140.png,658.4094955489616,307.55729228486643,603.4213649851633,349.27242581602366,679.2670623145402,345.4801409495549,630.9154302670624,405.20862759643916,706.7611275964393,359.701209198813,678.3189910979231,427.014265578635,747.5281899109796,354.01278189910977,745.6320474777451,424.1700519287834,784.5029673590507,348.3243545994065,807.2566765578638,405.20862759643916,494.39317507418406,322.72643175074177,554.1216617210684,334.1032863501483,482.0682492581604,336.9475,541.7967359050447,399.5202002967359,448.88575667655795,357.8050667655786,471.63946587537106,434.59883531157266,420.4436201780416,361.59735163204743,430.87240356083095,436.4949777448071,396.7418397626114,356.8569955489614,368.29970326409506,426.06619436201777
